,id,executedOn_date,croppableAreaId,croppableAreaName,IsSoilmoi4,PlantHeig3,WaterHeig0,FieldPhot1hldr,FieldPhot2hldr,Soilmoist5hldr,Photo1_link,Photo2_link,inundated_corr,executedOn,executedOn_time
0,60707,2023-08-14,19458,Field 137,Yes,40.0,4.0,compress1691995844074.jpg,compress1691995865020.jpg,"[{'size': 2644521, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '1a22e760-3a6f-11ee-b239-b381e0a9e356', 'originalFileName': 'compress1691995915794.jpg'}]",https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691995844074.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691995865020.jpg,0,2023-08-14T06:49:19.394Z,06:49:19.394000
1,60725,2023-08-16,19200,Field 129,Yes,41.0,4.0,compress1692171593662.jpg,compress1692171621771.jpg,"[{'size': 1468942, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '4304ff70-3c08-11ee-96dc-e749131eab26', 'originalFileName': 'compress1692171660866.jpg'}, {'size': 1469850, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '43054d90-3c08-11ee-801e-d37486e42487', 'originalFileName': 'compress1692171661825.jpg'}, {'size': 1468079, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '43059bb0-3c08-11ee-aad3-3b7c57599360', 'originalFileName': 'compress1692171663045.jpg'}, {'size': 1470480, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '4305c2c0-3c08-11ee-a87e-797526720659', 'originalFileName': 'compress1692171664018.jpg'}, {'size': 1468233, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '430610e0-3c08-11ee-a700-65a63171babf', 'originalFileName': 'compress1692171665009.jpg'}, {'size': 1467984, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '430637f0-3c08-11ee-9a60-7db15a375dba', 'originalFileName': 'compress1692171665884.jpg'}]",https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1692171593662.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1692171621771.jpg,0,2023-08-16T07:09:46.101Z,07:09:46.101000
2,60919,2023-08-14,19197,Field 126,Yes,38.0,4.0,compress1691994999393.jpg,compress1692007806252.jpg,"[{'size': 1299344, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '15fea400-3a6d-11ee-89cd-0f202b34bd87', 'originalFileName': 'compress1691995063263.jpg'}, {'size': 1313537, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '15fef220-3a6d-11ee-9990-b766b52b641b', 'originalFileName': 'compress1691995064144.jpg'}, {'size': 1303496, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '15ff8e60-3a6d-11ee-9e50-39f358f8d68f', 'originalFileName': 'compress1691995064881.jpg'}, {'size': 1312559, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '160078c0-3a6d-11ee-b087-9f668dad0be6', 'originalFileName': 'compress1691995065592.jpg'}, {'size': 1300078, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '16009fd0-3a6d-11ee-bced-0d50f4b7e581', 'originalFileName': 'compress1691995066302.jpg'}, {'size': 1301582, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '1600c6e0-3a6d-11ee-b6ef-f94c34d8caf0', 'originalFileName': 'compress1691995067253.jpg'}]",https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691994999393.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1692007806252.jpg,0,2023-08-14T06:35:12.817Z,06:35:12.817000
3,60920,2023-08-14,19476,Field 155,Yes,48.0,2.0,compress1692002258489.jpg,compress1692002290872.jpg,"[{'size': 541326, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '3f9e8df0-3a7e-11ee-9a33-85f686e64a63', 'originalFileName': 'compress1692002417467.jpg'}, {'size': 490929, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '3f9edc10-3a7e-11ee-8645-89e76c1727d0', 'originalFileName': 'compress1692002421210.jpg'}, {'size': 598855, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '3fa089c0-3a7e-11ee-9f43-55c1fe2fb3ce', 'originalFileName': 'compress1692002426039.jpg'}, {'size': 688398, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '3fa0b0d0-3a7e-11ee-b21b-ab88e85ad066', 'originalFileName': 'compress1692002438903.jpg'}]",https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1692002258489.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1692002290872.jpg,0,2023-08-14T08:30:15.694Z,08:30:15.694000
4,61010,2023-08-14,19190,Field 119,Yes,,,,,,,,-1,2023-08-14T05:39:20.252Z,05:39:20.252000
5,61010,2023-08-14,19190,Field 119,Yes,,,,,,,,-1,2023-08-14T05:47:00.601Z,05:47:00.601000
6,61117,2023-08-14,19491,Field 170,Yes,42.0,3.0,compress1691994988393.jpg,compress1691995037140.jpg,"[{'size': 482557, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '8369a850-3a6d-11ee-8c24-7ba51c29bed7', 'originalFileName': 'compress1691995219114.jpg'}, {'size': 536801, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '836ab9c0-3a6d-11ee-a211-ef671f0816d4', 'originalFileName': 'compress1691995224803.jpg'}, {'size': 563813, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '836ab9c0-3a6d-11ee-8a69-0d5d1a4ffd29', 'originalFileName': 'compress1691995228031.jpg'}, {'size': 751744, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '836fc2d0-3a6d-11ee-946f-174a8dcdd7b5', 'originalFileName': 'compress1691995241584.jpg'}, {'size': 621833, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '836fe9e0-3a6d-11ee-8922-efca21210259', 'originalFileName': 'compress1691995249632.jpg'}]",https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691994988393.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691995037140.jpg,0,2023-08-14T06:35:58.632Z,06:35:58.632000
7,61907,2023-08-14,19190,Field 119,Yes,42.0,10.0,compress1691992121629.jpg,compress1691992140308.jpg,"[{'size': 1201990, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '5be259a0-3a66-11ee-aa1b-152f50b46c06', 'originalFileName': 'compress1691992173901.jpg'}, {'size': 1186850, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '5be2a7c0-3a66-11ee-8851-3db52ea7a8dd', 'originalFileName': 'compress1691992174812.jpg'}, {'size': 1187528, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '5be2f5e0-3a66-11ee-b7f8-e57a12d70d82', 'originalFileName': 'compress1691992175522.jpg'}, {'size': 1190401, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '5be34400-3a66-11ee-8431-1d571f740cb7', 'originalFileName': 'compress1691992176259.jpg'}, {'size': 1193890, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '5be39220-3a66-11ee-8a9b-01868b1a77c2', 'originalFileName': 'compress1691992176907.jpg'}, {'size': 1185574, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '5be3b930-3a66-11ee-a418-c1102c6460a9', 'originalFileName': 'compress1691992177549.jpg'}]",https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691992121629.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691992140308.jpg,1,2023-08-14T05:39:20.252Z,05:39:20.252000
8,61907,2023-08-14,19190,Field 119,Yes,42.0,10.0,compress1691992121629.jpg,compress1691992140308.jpg,"[{'size': 1201990, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '5be259a0-3a66-11ee-aa1b-152f50b46c06', 'originalFileName': 'compress1691992173901.jpg'}, {'size': 1186850, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '5be2a7c0-3a66-11ee-8851-3db52ea7a8dd', 'originalFileName': 'compress1691992174812.jpg'}, {'size': 1187528, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '5be2f5e0-3a66-11ee-b7f8-e57a12d70d82', 'originalFileName': 'compress1691992175522.jpg'}, {'size': 1190401, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '5be34400-3a66-11ee-8431-1d571f740cb7', 'originalFileName': 'compress1691992176259.jpg'}, {'size': 1193890, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '5be39220-3a66-11ee-8a9b-01868b1a77c2', 'originalFileName': 'compress1691992176907.jpg'}, {'size': 1185574, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '5be3b930-3a66-11ee-a418-c1102c6460a9', 'originalFileName': 'compress1691992177549.jpg'}]",https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691992121629.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691992140308.jpg,1,2023-08-14T05:47:00.601Z,05:47:00.601000
9,61908,2024-08-12,19488,Field 167,Yes,45.0,22.0,compress1691991968886.jpg,compress1691992023563.jpg,"[{'size': 577774, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '6696fb30-3a66-11ee-9d0b-e30173be2533', 'originalFileName': 'compress1691992183408.jpg'}, {'size': 583382, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '66974950-3a66-11ee-8552-51cea9a5215e', 'originalFileName': 'compress1691992187831.jpg'}, {'size': 661505, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '6699ba50-3a66-11ee-a4a7-d1de85209b99', 'originalFileName': 'compress1691992191634.jpg'}, {'size': 644958, 'active': True, 'channel': 'mobile', 'content': 'image/jpeg', 'feature': 'plan', 'imageType': 'captured', 'identifier': '669a5690-3a66-11ee-999e-638715d2ad73', 'originalFileName': 'compress1691992193870.jpg'}]",https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691991968886.jpg,https://s3.console.aws.amazon.com/s3/object/mitti-field-data?region=us-east-2&bucketType=general&prefix=CropIn_Photos/compress1691992023563.jpg,1,2024-08-12T12:00:00Z,12:00:00
